=====================================================
                    HW3 SALES REPORT(Team 8)
=====================================================

Probabilities of Each Item Type
-----------------------------------------------------
Type,Probability
Milk,70.0%
Cereal,36.5%
Baby Food,20.0%
Diapers,16.8%
Peanut Butter,10.0%
Bread,50.0%
Jelly/Jam,13.5%
-----------------------------------------------------
Actual Avg Customers per day,8174.26
Actual Avg Sales per day,249269.81
Minimum # products sold, non-special sku, 14 days,19622
Maximum # products sold, non-special sku, 14 days,20614

Average Sales Per Day (Actual)
-----------------------------------------------------
Type,Total Sales,Avg Sales Per Day,% Total,# Items in Type,Sales Per Item
Milk,1150327,6390.71,2.56%,6,1065.12
Cereal,2397451,13319.17,5.34%,93,143.22
Baby Food,3545886,19699.37,7.90%,162,121.6
Diapers,1885600,10475.56,4.20%,82,127.75
Peanut Butter,544531,3025.17,1.21%,20,151.26
Bread,1683904,9355.02,3.75%,48,194.9
Jelly/Jam,271205,1506.69,0.60%,4,376.67
Other,33389661,185498.12,74.42%,1660,111.75

Average Predicted Sales Per Day
-----------------------------------------------------
Type,Total Sales,Avg Sales Per Day,% Total,# Items in Type,Sales Per Item
Milk,1150496,6391.65,2.56%,6,1065.27
Cereal,2405418,13363.43,5.36%,93,143.69
Baby Food,3548853,19715.85,7.91%,162,121.7
Diapers,1894569,10525.38,4.22%,82,128.36
Peanut Butter,548937,3049.65,1.22%,20,152.48
Bread,1700003,9444.46,3.79%,48,196.76
Jelly/Jam,278994,1549.97,0.62%,4,387.49
Other,33349393,185274.41,74.31%,1660,111.61

Total sales,44868565
